0,30477,28732,4883,3894
1,19882,18047,2476,2496
2,19083,16673,2140,1723
3,19733,16556,2059,1634
4,20474,16724,2059,1601
5,20928,16965,2089,1596
6,21142,17232,2133,1621
7,21271,17547,2187,1683
8,21394,17919,2247,1777
9,21510,18300,2304,1887
10,21591,18639,2348,1996
11,21623,18893,2375,2090
12,21584,19040,2384,2157
13,21450,19118,2382,2202
14,21211,19136,2380,2241
15,20866,19124,2380,2277
16,20405,19125,2394,2325
17,19820,19170,2433,2397
18,19120,19288,2495,2495
19,18404,19519,2567,2607
20,17756,19908,2636,2727
21,17220,20503,2687,2846
22,16826,21353,2710,2958
23,16589,22479,2702,3064
24,16509,23856,2674,3166
25,16574,25436,2635,3270
26,16787,27175,2597,3376
27,17154,28981,2570,3484
28,17626,30757,2559,3589
29,18149,32380,2559,3680
30,18692,33757,2569,3748
31,19267,34828,2586,3788
32,19897,35558,2608,3795
33,20606,35978,2635,3773
34,21395,36182,2664,3725
35,22247,36276,2693,3658
36,23143,36340,2721,3576
37,24066,36462,2746,3487
38,25008,36707,2771,3400
39,25965,37095,2796,3321
40,26943,37642,2824,3259
41,27955,38399,2858,3222
42,29036,39450,2901,3218
43,30216,40803,2955,3246
44,31503,42377,3017,3297
45,32915,44076,3087,3366
46,34465,45884,3163,3446
47,36171,47833,3246,3532
48,38039,50012,3336,3622
49,40037,52448,3429,3713
50,42012,54870,3525,3804
51,43871,57032,3622,3890
52,45546,58682,3720,3970
53,47039,59783,3820,4045
54,48369,60456,3923,4116
55,49587,60885,4033,4187
56,50740,61239,4151,4261
57,51795,61469,4281,4340
58,52669,61458,4421,4427
59,53253,61082,4570,4521
60,53513,60341,4725,4622
61,53577,59482,4883,4733
62,53602,58758,5044,4856
63,53645,58266,5209,4996
64,53705,57955,5380,5153
65,53727,57687,5559,5326
66,53668,57331,5748,5513
67,53500,56801,5949,5715
68,53244,56129,6166,5936
69,52939,55409,6408,6186
70,52592,54728,6678,6475
71,52214,54156,6982,6815
72,51853,53739,7327,7215
73,51554,53509,7716,7683
74,51350,53481,8150,8221
75,51182,53628,8624,8832
76,50941,53901,9131,9519
77,50527,54247,9661,10283
78,49926,54698,10217,11140
79,49297,55340,10825,12120
80,48783,56226,11518,13255
81,48552,57426,12328,14575
82,48642,58973,13288,16110
83,48940,60748,14396,17851
84,49366,62636,15616,19750
85,49967,64678,16892,21745
86,50647,66753,18196,23786
87,51416,68791,19537,25847
88,52430,70896,20972,27956
89,53823,73158,22572,30148
90,55635,75597,24379,32450
91,57839,78174,26425,34883
92,60325,80778,28720,37457
93,62826,83202,31220,40160
94,65138,85361,33932,43066
95,67139,87290,36907,46303
96,68533,88692,40385,50181
97,64260,83281,41406,51389
98,59710,76966,43122,53074
99,54997,69925,45881,55415
