curTrt,Induction,Maintenance
VED,7780.81275,3004.8813
UST,10868.08316,3938.94534
MTX,330.96,247.56
IFX5,1134.404027,567.2020133
IFX10,2268.808053,1134.404027
ADA40,600.89405,346.18242
ADA80,740.21154,740.21154
ADA+AZA,609.69011,353.09898
IFX+AZA,1146.246767,576.5142533
AZA,49.14,38.64
RIS,7560.24,3780.12
UPA,8129.52,2695.56
